*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1997 154     7     5     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 155     8     6     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 156     9     7     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 157    10     8     0.6     0.0     0.6    0.00    4.84      0.1     0.0     0.6     0.1    5.36    2.56     0.0    2.3    0.0    0.00    0.01
 1997 158    11     9     0.7     0.0     0.7    0.00    4.79      0.1     0.0     0.6     0.1    5.29    2.52     0.0    2.2    0.0    0.00    0.01
 1997 159    12    10     0.7     0.0     0.7    0.00    4.79      0.1     0.0     0.7     0.1    5.29    2.51     0.0    2.2    0.0    0.00    0.01
 1997 160    13    11     0.8     0.0     0.8    0.00    4.73      0.2     0.0     0.8     0.1    5.20    2.46     0.0    2.2    0.1    0.00    0.01
 1997 161    14    12     0.9     0.0     0.9    0.00    4.70      0.3     0.0     0.9     0.1    5.14    2.43     0.0    2.1    0.1    0.00    0.02
 1997 162    15    13     1.0     0.0     1.0    0.00    4.70      0.4     0.0     1.0     0.1    5.12    2.41     0.0    2.1    0.1    0.00    0.02
 1997 163    16    14     1.1     0.0     1.1    0.00    4.51      0.5     0.0     1.0     0.1    4.98    2.25     0.0    2.0    0.1    0.01    0.02
 1997 164    17    15     1.3     0.0     1.3    0.00    4.47      0.6     0.0     1.1     0.1    4.97    2.28     0.0    2.0    0.1    0.01    0.03
 1997 165    18    16     1.4     0.0     1.4    0.00    4.31      0.8     0.0     1.2     0.1    4.87    2.15     0.0    1.9    0.1    0.01    0.03
 1997 166    19    17     1.5     0.0     1.5    0.00    4.17      0.9     0.0     1.3     0.2    4.79    2.13     0.0    1.9    0.1    0.01    0.03
 1997 167    20    18     1.6     0.0     1.6    0.00    4.04      1.1     0.0     1.4     0.2    4.74    2.13     0.0    1.9    0.2    0.01    0.04
 1997 168    21    19     1.8     0.0     1.8    0.00    3.94      1.4     0.0     1.5     0.3    4.72    2.16     0.0    1.9    0.2    0.02    0.04
 1997 169    22    20     2.0     0.0     2.0    0.00    3.83      1.7     0.0     1.7     0.4    4.62    2.11     0.0    1.9    0.2    0.02    0.05
 1997 170    23    21     2.3     0.0     2.3    0.00    3.81      2.0     0.0     1.9     0.4    4.62    2.12     0.0    1.8    0.3    0.02    0.05
 1997 171    24    22     2.6     0.0     2.6    0.00    3.75      2.4     0.0     2.1     0.5    4.57    2.10     0.0    1.8    0.3    0.02    0.06
 1997 172    25    23     2.9     0.0     2.9    0.00    3.71      2.9     0.0     2.4     0.6    4.56    2.10     0.0    1.8    0.4    0.03    0.06
 1997 173    26    24     3.2     0.0     3.2    0.00    3.73      3.3     0.0     2.6     0.7    4.59    2.13     0.0    1.8    0.3    0.03    0.07
 1997 174    27    25     3.6     0.0     3.6    0.00    3.75      3.7     0.0     2.9     0.8    4.64    2.17     0.0    1.8    0.4    0.03    0.08
